acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0.0112, 0.746, 199054, 0.765, 0, 0, 6, 0.0936, -4.41, 0, 2020, 0.0993, 114.044, 0.737, 1
0.0694, 0.828, 181264, 0.782, 0, 0.0000341, 11, 0.0544, -4.014, 1, 2020, 0.0918, 130.013, 0.351, 1
0.0632, 0.732, 229400, 0.795, 0, 0, 8.0, 0.0569, -2.263, 1, 2020, 0.1, 100.954, 0.693, 1
0.468, 0.737, 172325, 0.802, 1, 0, 0, 0.0931, -4.771, 1, 2020, 0.0878, 144.015, 0.682, 1
