acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0.328,0.798,219960,0.538,0,0.00206,7,0.182,-11.412,1,49,0.0363,81.018,0.677,2000
0.328,0.727,200574,0.664,0,2.50E-06,9,0.0434,-6.611,0,40,0.181,115.171,0.785,2000
0.0494,0.492,210333,0.973,0,0.0778,4,0.335,-4.618,1,39,0.0424,113.415,0.865,2000
0.16,0.846,225267,0.5,0,0,5,0.0929,-10.14,1,44,0.0289,99.994,0.771,2000
0.881,0.469,297173,0.161,0,0.00322,9,0.133,-17.632,1,40,0.0319,134.927,0.184,2000
0.165,0.497,207467,0.787,0,0.522,9,0.17,-11.039,1,40,0.0734,134.598,0.812,2000
0.0232,0.893,261427,0.438,0,0,9,0.605,-10.517,1,38,0.134,104.451,0.423,2000
0.65,0.568,319373,0.316,0,0.0978,2,0.0831,-14.904,1,39,0.0328,133.989,0.249,2000
0.17,0.766,507607,0.888,0,0.0416,5,0.277,-7.732,0,55,0.0362,122.015,0.732,2000
0.135,0.71,307533,0.901,0,0.0022,2,0.218,-7.317,0,46,0.0342,126.602,0.913,2000
0.0113,0.745,328733,0.956,0,0.0699,11,0.356,-4.503,0,41,0.0627,112.074,0.502,2000
0.00892,0.565,271133,0.753,0,0.718,7,0.145,-6.294,1,40,0.0346,114.006,0.824,2000
0.0135,0.708,213240,0.692,0,3.92E-05,1,0.0742,-4.286,0,45,0.0341,92.631,0.42,2000
0.74,0.327,386440,0.385,0,1.49E-05,5,0.142,-10.162,1,41,0.0434,68.556,0.354,2000
0.494,0.369,241000,0.739,0,0.0639,11,0.559,-4.607,0,41,0.0395,79.008,0.416,2000
0.844,0.324,171533,0.191,0,0,8,0.388,-13.865,1,39,0.0349,83.577,0.381,2000
0.94,0.0608,1873000,0.0157,0,0.936,5,0.0892,-31.917,1,45,0.0469,67.88,0.0361,2000
0.17,0.905,190240,0.882,0,7.82E-05,8,0.0958,-3.498,1,55,0.0489,118.95,0.962,2000
